,Season,Lg,Team,W,L,W/L%,Finish,SRS,Unnamed: 8,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,Unnamed: 15,Playoffs,Coaches,Top WS
43,1976-77,NBA,Kansas City Kings,40,42,.488,4th of 6,0.93,,106.4,-0.1,100.5,1.0,99.6,0.1,,,P. Johnson (40-42),R. Boone (8.1)
44,1975-76,NBA,Kansas City Kings,31,51,.378,3rd of 4,-2.83,,105.7,0.2,97.4,-0.9,100.1,1.8,,,P. Johnson (31-51),T. Archibald (8.0)
45,1974-75,NBA,Kansas City-Omaha Kings*,44,38,.537,2nd of 4,-0.16,,104.4,-0.1,96.8,-0.9,97.1,-0.6,,Lost W. Conf. Semis,P. Johnson (44-38),T. Archibald (11.2)
46,1973-74,NBA,Kansas City-Omaha Kings,33,49,.402,4th of 4,-3.24,,106.1,-1.7,96.0,-1.7,99.5,1.8,,,"B. Cousy (6-14), D. Young (0-4), P. Johnson (27-31)",S. Lacey (7.7)
47,1972-73,NBA,Kansas City-Omaha Kings,36,46,.439,4th of 4,-2.36,,107.3,-3.4,99.7,2.9,102.4,5.6,,,B. Cousy (36-46),T. Archibald (14.2)
48,1971-72,NBA,Cincinnati Royals,30,52,.366,3rd of 4,-4.13,,109.5,-2.5,98.0,0.1,101.6,3.7,,,B. Cousy (30-52),T. Archibald (12.9)
49,1970-71,NBA,Cincinnati Royals,33,49,.402,3rd of 4,-2.96,,118.5,3.4,97.1,-0.1,99.8,2.6,,,B. Cousy (33-49),J. Green (9.5)
50,Season,Lg,Team,W,L,W/L%,Finish,SRS,,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,,Playoffs,Coaches,Top WS
51,1969-70,NBA,Cincinnati Royals,36,46,.439,5th of 7,-2.55,,118.5,1.4,98.0,-1.0,100.4,1.4,,,B. Cousy (36-46),O. Robertson (11.4)
52,1968-69,NBA,Cincinnati Royals,41,41,.500,5th of 7,-0.83,,113.6,-3.3,100.2,4.7,101.1,5.6,,,E. Jucker (41-41),O. Robertson (12.9)
53,1967-68,NBA,Cincinnati Royals,39,43,.476,5th of 6,-0.64,,114.6,-5.2,101.1,4.3,101.8,5.0,,,E. Jucker (39-43),O. Robertson (12.3)
